,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1575_250microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1584_710microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1590_1400microns.jpg
0.05,4.514330109774548,6.338514782888418,8.172704059904373
0.1,7.3955917859051645,10.846640914207871,14.49293918643951
0.16,10.868946260935784,16.37102485953745,21.96332810119912
0.25,16.097045511254006,25.117047655858098,33.40189245171194
0.3,19.24449525063467,30.0801996321523,40.04192219712718
0.5,35.11166913739135,52.030412218510286,68.36162651838455
0.75,68.73196315698637,94.64031512812937,116.56157455586268
0.84,91.74428383697025,124.35556066609841,150.09164999224836
0.9,122.44043232536,163.78889279850998,191.6962179984135
0.95,204.56143262083825,238.41183006379435,253.00030118301677
