,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1575_250microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1578_355microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1581_500microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1584_710microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1587_1000microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1590_1400microns.jpg
0.05,0.1633469999670452,0.1666779855908481,0.1728705516861803,0.1896149206222564,0.20016294221287084,0.2179855666816317
0.1,0.20763850909363318,0.21895959820755742,0.23108146515820266,0.259714415833617,0.2804349117410332,0.3084640707262553
0.16,0.2549757840755151,0.27835421679427863,0.29936817705487456,0.34294647970943304,0.372617965544871,0.4093410708852306
0.25,0.32382989325277295,0.3633065629442023,0.39821726011719505,0.4694100447920105,0.5090857433735145,0.5567989380128193
0.3,0.36377072627387935,0.41037163215811406,0.45228898673712165,0.5378989401238146,0.5821342459881268,0.6417246408493285
0.5,0.5605629126416036,0.6237544787389988,0.6905887147808369,0.8105552542830537,0.8832194469246183,0.9926383431467057
0.75,0.9493737177319486,1.028790666785288,1.1103118987800356,1.2350327525405511,1.3218175007900794,1.4351770076493013
0.84,1.186279967768511,1.2503072996279407,1.330388669917716,1.4351348448356316,1.5070569126692985,1.596073066747256
0.9,1.398752377563912,1.4383688456962198,1.510254784312821,1.5875781538380718,1.639643098753792,1.7025677769404375
0.95,1.615207536361679,1.63602104948815,1.6831190307480293,1.7280434357001215,1.7571574089754878,1.7918379759354426
