,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_0202.JPG,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_0229.JPG,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_0249.JPG,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_0254.JPG
0.05,19.585016181497803,6.221304888507928,5.040021344970937,4.591742995426803
0.1,30.49822200508613,10.239056545110206,8.196848529050879,7.372115091987663
0.16,40.92661150031125,14.62159264657895,11.745779317704368,10.616358418727417
0.25,54.488585991244435,20.791041278252543,17.359193834519274,16.33940123289576
0.3,61.46280230906641,24.272622735139702,20.89486455208307,20.04517452121352
0.5,87.50894546025489,40.790316566682066,39.41164471567797,40.00717860108421
0.75,126.0431102503411,74.00224658257987,80.28325158164174,84.82080489202227
0.84,148.34973315066077,96.53782967064308,110.00430079421419,119.14080125710332
0.9,173.15405662424675,126.82059473821917,153.21697289233614,167.7150670721378
0.95,217.9053149419415,192.24129472329872,226.83701625064893,238.87185843447148
