,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1575_250microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1578_355microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1581_500microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1584_710microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1587_1000microns.jpg,/media/marda/TWOTB/USGS/SOFTWARE/Projects/PYDGS/pyDGS/data/IMG_1590_1400microns.jpg
0.05,0.15735909268248516,0.15971148359298323,0.16503196615110097,0.17934567233166168,0.18821660011919367,0.20369908562693312
0.1,0.19815766721511147,0.2069775609784542,0.21692790128750475,0.24254967524427784,0.2604694594729828,0.2859850616720742
0.16,0.2426332261225258,0.2620274468914803,0.2799602025240291,0.3181118900368892,0.3453227172299747,0.3795778762398811
0.25,0.3068985325007113,0.342549009887079,0.37354277346480563,0.43734063103196036,0.47444888440534383,0.5186460041753549
0.3,0.3442516372666145,0.38724561624749326,0.4253425488848984,0.50385577374864,0.5459108633465624,0.5986458490168141
0.5,0.5283215344980698,0.5901685385947151,0.653390620304753,0.7718671690098909,0.8411822375594598,0.9468257019982912
0.75,0.9026500169755989,0.9837615637710405,1.066625396852539,1.1961213724765536,1.2855037823180664,1.403397829683806
0.84,1.135835168428636,1.2076376864591378,1.289606109535168,1.402424124987402,1.479148979479753,1.574359280352919
0.9,1.3549454695657142,1.401675167527296,1.477814330291066,1.5631027361971332,1.6199837180443184,1.6883948808188498
0.95,1.5863927760200918,1.611033345831835,1.663209921170274,1.713859155520196,1.7462073559435018,1.7843811852794775
